"","spend_zips_med_inc","spend_zips_bought_car","spend_zips_child_spent","spend_zips_disp_inc","spend_zips_BACHDEG_CY","spend_zips_rel_club","spend_zips_bar_spend","spend_zips_MALES_CY","spend_zips_FEMALES_CY","spend_zips_MARRIED_CY","spend_zips_food_percapita","spend_zips_health_percapita","Republican","test.pred.class"
"142",36801,487,285,42658,190,84,339,2097,2043,1601,1883.584717,920.7375488,1,"0"
"196",32935,27,15,39335,13,6,11,91,93,84,3347.447754,1667.828369,1,"0"
"338",25389,268,307,33033,252,109,685,2039,2728,701,1088.113159,485.3291626,0,"0"
"237",43215,53,24,48052,11,8,43,213,225,226,3259.967529,1545.914429,1,"1"
"416",38836,95,69,42366,68,33,45,476,470,199,2209.722168,1091.894043,0,"0"
"34",41786,1826,1168,45723,1492,493,2307,9825,9616,6106,2185.563477,921.0194702,0,"0"
"272",62787,129,85,66233,93,35,165,528,520,577,3111.191406,1494.968018,1,"1"
"392",60769,537,350,62755,318,129,585,2478,2510,1931,2598.974365,1225.701782,1,"1"
"284",48510,1563,1004,50794,1359,515,1582,8105,8279,6171,2566.376221,1183.509155,0,"1"
"344",36126,1813,1203,44971,1897,666,2487,10824,12222,6570,2258.557861,1006.825989,0,"0"
"124",39417,663,418,49803,399,209,546,3371,3404,2613,2708.975586,1309.006226,0,"0"
"50",27679,154,88,41561,30,42,58,575,628,411,2060.493408,1018.461182,0,"0"
"300",51943,501,360,55685,347,149,552,2727,2365,1687,2357.514404,1119.457275,1,"1"
"409",50438,1973,1177,53165,1732,583,2156,8875,9542,6408,2712.318359,1209.895508,1,"0"
"265",38396,159,109,44424,87,40,206,817,809,597,4268.285156,2027.237915,0,"1"
"402",42099,1749,1029,46762,1654,734,1946,9352,10518,6186,2132.031494,981.0131226,0,"0"
"346",32569,218,129,40182,112,48,103,822,849,624,2296.076172,1140.76416,0,"0"
"235",42545,337,218,46072,274,80,265,1330,1369,1272,1600.333984,791.87677,0,"1"
"236",48996,177,118,52552,148,38,112,755,755,707,3123.63501,1571.773438,1,"1"
"93",30630,493,276,39897,123,108,214,1635,1752,1391,2311.091064,1146.976929,0,"0"
"354",39778,85,54,51165,40,20,52,397,288,248,2423.556641,1227.016235,1,"0"
"112",0,0,117,0,181,39,372,681,890,250,0,0,0,"0"
"401",45628,986,582,50342,531,230,871,4602,4729,3029,2574.221436,1202.343018,1,"1"
"347",43377,425,255,45520,168,88,233,1533,1622,1345,2666.82959,1322.205322,0,"1"
"106",56511,6084,3928,58212,5400,1536,6561,28198,29287,21540,2693.846191,1192.036499,1,"0"
"133",32102,1214,758,47526,2424,417,2156,6972,6125,2848,3688.776367,1499.295532,0,"0"
"364",35842,1054,685,41023,949,417,928,5698,6074,3139,1846.666504,871.3930664,0,"0"
"361",34432,139,84,41143,37,37,64,528,579,407,2147.043213,1069.751343,1,"0"
"234",25397,1630,1139,31077,1045,935,2481,14576,14798,5059,1240.320313,545.2391968,0,"0"
"247",53986,845,470,61281,655,183,855,3818,4021,3831,3130.858398,1464.0177,1,"1"
"330",47017,2198,1249,60444,4062,629,2750,9672,11060,7273,3656.244141,1605.372559,0,"0"
"201",50090,108,51,45959,36,17,93,508,495,596,2177.499512,1032.59668,1,"1"
"254",86684,3926,2686,80537,7340,1074,5475,16382,17394,15549,3955.639404,1758.282104,1,"1"
"203",41317,2488,1696,46843,987,687,2548,13690,13102,9547,2026.781982,934.43396,0,"0"
"301",36907,15,9,44377,8,3,9,50,55,40,1235.43689,616.9594727,0,"0"
"213",23870,34,25,31774,11,7,24,134,150,102,1683.373047,840.6500244,0,"0"
"380",56935,861,581,59334,1178,195,1084,3969,4226,3480,2978.077393,1393.796265,1,"1"
"398",36953,411,255,46354,165,124,283,3653,2176,2197,1845.0271,887.2441406,0,"1"
"393",56352,267,155,68911,180,52,227,1302,1246,1100,3380.711182,1639.413208,1,"1"
"257",30925,666,450,39509,481,176,616,3259,3343,2282,1929.281616,931.1924438,0,"0"
